Sentences,Result
"Sərəncama əsasən, Azərbaycan Respublikası Prezidentinin 2020-ci il 28 sentyabr tarixli 2280 nömrəli sərəncamına əsasən hərbi xidmətə çağırılmış aşağıdakı kateqoriyadan olan hərbi qulluqçular 2020-ci il dekabrın 2-dən səfərbərlik üzrə hərbi xidmətdən tərxis ediliblər",100
"Bunun cavabını heçkim dəqiq deyə bilməz. Çünki virus günü gündən mutasiya edərək dəyişir. Yəni bu gün hazırlanan vaksin sabah təsirsiz ola bilər. Düzdü Amerika, Almaniya, Hindistan kimi böyük dərman fabriklərində dayanmadan araşdırmalar gedir. Halhazırda bildiyim qədər ilə hazırlanan 8 fərqli vaksin var. Amma bunların hamıda virusa qarşı qoruma yaradacığına dair əminliklə deyən elm adamı yoxdur. Zaman keçdikcə vaksinlərin təsiridə itə bilər. Vaksinlər hazırlanarkən çox az insan üzərində sınaqdan keçirilir. Ola bilərki, yaradılan vaksin bəzi insanlarda yan təsirlər yaratsın. Bu da bir riskdir",0
Virus insanlar arasında daha sürətli yayılmasında toxum rolunu oynayan əsas kütlə 6- 20 yaşa qədər olan insanlardır. Səbəb isə virusa yoluxsalar belə ciddi təsirlənmirlər. İmmuntetləri güclüdür. Beləliklə fərqində olmadan ətrafında olan orta və yaşlı nəsilə virusu yoluxdururlar,0
"qaçış, üzgüçülük və velosiped sürmə də daxil olmaqla, 11 peşəkar idman rejimi üçün dəqiq və real vaxt rejimində məşq göstəriciləri təqdim edir. 85 xüsusi məşq rejimi yoqa və ya yüksək intensivlikli interval məşqləri ilə maraqlanmağınızdan asılı olmayaraq potensialınızı açmağa imkan verir, saat həmçinin real vaxt rejimində ürək döyüntüsünün tezliyini, kalorini və məşq müddətini nəzarətdə saxlayır",0
"Salam, Netflixdə Prison Break türkcə altyazılı və ya dublaj aradan qaldırılıb? Ya əvvəldən olmayıb?",0
İELTSdən bəzi problemlərim var. Bəlkə bununla bağlı məsləhət görə biləcəyiniz vasitələr ola bilər. ,0
Hərkəsə salam. Aranızda İtaliyada məzun olduqdan sonra diplomun təsdiqlənmə prosesin bilən var? Turində harda edilir və prosesin neçə gün çəkdiyi maraqlandırır.,0
"Salamlar, qeyd edilən hansı fikirlə razısınız və ya sizin yanaşmanız necədir ? 🙂Həyat sizin üçün nə deməkdir və ya nəyi ifadə edir ? Davam etməyə , yaşamağa dəyərmi ?",0
"3 - 4 il öncə bu qrupda paylaşdığım Kozetta layihəsini bu dəfə dahada inkişaf etdirmək məqsədinə gəldim. Hərbir coderin, dizaynerin və digər peşə sahiblərinin iş gördükdə və ya yorğun bir günün sonunda dincəlmək üçün ayırdıqların bir vaxtda bu layihənin kömək olacağını düşünürəm. ",0
"Şəhəri data əsasında idarə edən və bunun nəticəsində cinayətkarlığın azalmasında, yeni iş yerlərinin yaradılmasında, səhiyyə və təhsil sahəsində çox böyük uğurlar əldə edən Martin O'Malley çox vacib məqamlara toxunur:",0
"İşgüzar səfərləriniz səbəbindən toplam şəkildə PCR testindən keçmək istəyirsinizsə, korporativ təkliflərinizlə nömrəmizə müraciət edə, ətraflı məlumat ala və görüş təyin edə bilərsiniz. ",0
Salam.Bugun IBA tech Akademiyanin QA imtahanina giren olubsa sual format nece idi yaza biler?Hansi movzudan idi?,0
"Bir müddət əvvəl blok səbəbi olaraq enrollmentin tamamlanmadığı yazılmışdı. Ticket yazdım cavab olaraq dedilər ki sənədlərinizə baxıldığdan sonra blok qaldırılacaq. İndi enrollment bloku qaldırılıb, amma bu qalıb. Başqa bu vəziyyətlə qarşılaşan və ya həll yolunu bilən varsa zəhmət olmasa bölüşsün. Təşəkkürlər.",0
